"concept_id","concept_name","concept_code","vocabulary_id","ingredient"
995296,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz] by Novartis","OMOP4821804","RxNorm Extension","adalimumab"
995297,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio]","OMOP4821805","RxNorm Extension","adalimumab"
995298,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio] by Mylan","OMOP4821806","RxNorm Extension","adalimumab"
1119119,"adalimumab","327361","RxNorm","adalimumab"
1119121,"adalimumab 50 MG/ML","358817","RxNorm","adalimumab"
1119154,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe","763564","RxNorm","adalimumab"
1119155,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe [Humira]","763565","RxNorm","adalimumab"
1592184,"{6 (0.4 ML adalimumab 100 MG/ML Auto-Injector) } Pack","1872983","RxNorm","adalimumab"
1592185,"{4 (0.4 ML adalimumab 100 MG/ML Auto-Injector) } Pack","1872985","RxNorm","adalimumab"
1592186,"{3 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe) } Pack","1873086","RxNorm","adalimumab"
1592192,"{3 (0.8 ML adalimumab 100 MG/ML Auto-Injector) } Pack","1921244","RxNorm","adalimumab"
1592193,"{2 (0.4 ML adalimumab 100 MG/ML Auto-Injector) / 1 (0.8 ML adalimumab 100 MG/ML Auto-Injector) } Pack","1921467","RxNorm","adalimumab"
1592626,"{6 (0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen 40 MG/0.4 ML Starter Pack - Crohn's Disease]","1872984","RxNorm","adalimumab"
1592627,"{4 (0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen 40 MG/0.4 ML Starter Pack - Psoriasis]","1872986","RxNorm","adalimumab"
1592628,"{3 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]) } Pack [Humira Prefilled Syringe 80 MG/0.8 ML Starter Pack - Pediatric Crohn's Disease]","1873087","RxNorm","adalimumab"
1592637,"{3 (0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen 80 MG/0.8 ML - Starter Package for Crohn's Disease, Ulcerative Colitis or Hidradenitis Suppurativa]","1921245","RxNorm","adalimumab"
1592638,"{2 (0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira]) / 1 (0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen 80 MG/0.8 ML and 40 MG/0.4 ML - Psoriasis/Uveitis Starter Package]","1921468","RxNorm","adalimumab"
1592709,"0.4 ML adalimumab 100 MG/ML Auto-Injector","1872979","RxNorm","adalimumab"
1592710,"0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira]","1872980","RxNorm","adalimumab"
1592711,"adalimumab 100 MG/ML Auto-Injector","1872981","RxNorm","adalimumab"
1592712,"adalimumab 100 MG/ML Auto-Injector [Humira]","1872982","RxNorm","adalimumab"
1594144,"0.1 ML adalimumab 100 MG/ML Prefilled Syringe","1921009","RxNorm","adalimumab"
1594145,"0.1 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","1921010","RxNorm","adalimumab"
1594146,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe","1921016","RxNorm","adalimumab"
1594147,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","1921017","RxNorm","adalimumab"
1594200,"0.8 ML adalimumab 100 MG/ML Auto-Injector","1921238","RxNorm","adalimumab"
1594202,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira]","1921240","RxNorm","adalimumab"
1718324,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe","1855523","RxNorm","adalimumab"
1718325,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","1855524","RxNorm","adalimumab"
1718870,"{1 (0.4 ML adalimumab 100 MG/ML Prefilled Syringe) / 1 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe) } Pack","1855526","RxNorm","adalimumab"
1718880,"{1 (0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]) / 1 (0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]) } Pack [Humira Pediatric Crohn's Disease Starter Package (2 count)]","1855527","RxNorm","adalimumab"
2033422,"0.8 ML adalimumab 50 MG/ML Pen Injector [Humira] by Abbvie","OMOP4932424","RxNorm Extension","adalimumab"
2033423,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira] by Abbott","OMOP4932425","RxNorm Extension","adalimumab"
2034354,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Abbvie","OMOP4933463","RxNorm Extension","adalimumab"
2071758,"adalimumab Pen Injector [Humira]","OMOP4973361","RxNorm Extension","adalimumab"
2071759,"adalimumab Pen Injector","OMOP4973362","RxNorm Extension","adalimumab"
19098170,"0.8 ML adalimumab 50 MG/ML Injection","351290","RxNorm","adalimumab"
19098494,"0.8 ML adalimumab 50 MG/ML Injection [Humira]","352334","RxNorm","adalimumab"
19121015,"adalimumab 50 MG/ML [Humira]","576023","RxNorm","adalimumab"
19127196,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe","727703","RxNorm","adalimumab"
19127197,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira]","727705","RxNorm","adalimumab"
19133086,"{6 (0.8 ML adalimumab 50 MG/ML Prefilled Syringe) } Pack","825169","RxNorm","adalimumab"
19133087,"{6 (0.8 ML adalimumab 50 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen - Crohn's Disease Starter Pack]","825170","RxNorm","adalimumab"
21026271,"adalimumab 50 MG/ML Prefilled Syringe Box of 2","OMOP256499","RxNorm Extension","adalimumab"
21029762,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe Box of 2","OMOP287923","RxNorm Extension","adalimumab"
21075440,"adalimumab 50 MG/ML Prefilled Syringe [Humira] Box of 2","OMOP256500","RxNorm Extension","adalimumab"
21118084,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira] Box of 2","OMOP287925","RxNorm Extension","adalimumab"
21127854,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira] Box of 2 by Abbvie","OMOP287926","RxNorm Extension","adalimumab"
21147533,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira] by Abbvie","OMOP287924","RxNorm Extension","adalimumab"
35409753,"adalimumab 100 MG/ML Prefilled Syringe Box of 2","OMOP1143338","RxNorm Extension","adalimumab"
35410656,"adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2","OMOP1144241","RxNorm Extension","adalimumab"
35412082,"adalimumab 50 MG/ML Injectable Solution Box of 2","OMOP1145667","RxNorm Extension","adalimumab"
35414536,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe Box of 2","OMOP1148121","RxNorm Extension","adalimumab"
35414553,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2","OMOP1148138","RxNorm Extension","adalimumab"
35414704,"0.8 ML adalimumab 50 MG/ML Injectable Solution Box of 2","OMOP1148289","RxNorm Extension","adalimumab"
35414709,"0.8 ML adalimumab 50 MG/ML Injection [Humira] Box of 2 by Abbvie","OMOP1148294","RxNorm Extension","adalimumab"
35604489,"adalimumab 100 MG/ML","1726843","RxNorm","adalimumab"
35604490,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe","1726844","RxNorm","adalimumab"
35604491,"adalimumab 100 MG/ML [Humira]","1726845","RxNorm","adalimumab"
35604492,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","1726846","RxNorm","adalimumab"
35604493,"adalimumab 100 MG/ML Prefilled Syringe","1726847","RxNorm","adalimumab"
35604494,"adalimumab 100 MG/ML Prefilled Syringe [Humira]","1726848","RxNorm","adalimumab"
35872595,"adalimumab 50 MG/ML Injectable Solution [Xiumeile]","OMOP5029340","RxNorm Extension","adalimumab"
35872596,"adalimumab 50 MG/ML [Xiumeile]","OMOP5029341","RxNorm Extension","adalimumab"
35872597,"adalimumab Injectable Solution [Xiumeile]","OMOP5029342","RxNorm Extension","adalimumab"
36052577,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Idacio] Box of 1 by Fresenius","OMOP4977662","RxNorm Extension","adalimumab"
36052578,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Idacio] Box of 1","OMOP4977663","RxNorm Extension","adalimumab"
36052579,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Idacio] by Fresenius","OMOP4977664","RxNorm Extension","adalimumab"
36052580,"0.8 ML adalimumab 50 MG/ML Injectable Solution Box of 1","OMOP4977665","RxNorm Extension","adalimumab"
36068941,"adalimumab 50 MG/ML Injectable Solution [Idacio] Box of 1","OMOP4995592","RxNorm Extension","adalimumab"
36221938,"adalimumab Injectable Product","1163691","RxNorm","adalimumab"
36233548,"Humira Injectable Product","1171992","RxNorm","adalimumab"
36249550,"{4 (0.8 ML adalimumab 50 MG/ML Auto-Injector) } Pack","1801277","RxNorm","adalimumab"
36249660,"{4 (0.8 ML adalimumab 50 MG/ML Auto-Injector [Humira]) } Pack [Humira Pen - Psoriasis Starter Pack]","1801278","RxNorm","adalimumab"
36418996,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 1","OMOP4761297","RxNorm Extension","adalimumab"
36418998,"0.8 ML adalimumab 100 MG/ML Auto-Injector Box of 1","OMOP4761299","RxNorm Extension","adalimumab"
36419175,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2","OMOP4761473","RxNorm Extension","adalimumab"
36419176,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe Box of 2","OMOP4761474","RxNorm Extension","adalimumab"
36419678,"adalimumab 100 MG/ML Auto-Injector [Humira] Box of 1","OMOP4761968","RxNorm Extension","adalimumab"
36419679,"adalimumab 100 MG/ML Auto-Injector Box of 1","OMOP4761969","RxNorm Extension","adalimumab"
36503680,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Cc","OMOP4834826","RxNorm Extension","adalimumab"
36503747,"0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Orifarm Leverkus","OMOP4836286","RxNorm Extension","adalimumab"
36504131,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Eurim-Pharm","OMOP4836490","RxNorm Extension","adalimumab"
36505022,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Haematogmbh","OMOP4835528","RxNorm Extension","adalimumab"
36505337,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Cc","OMOP4835824","RxNorm Extension","adalimumab"
36505443,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Kohlpharma","OMOP4836446","RxNorm Extension","adalimumab"
36505564,"0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Eurim-Pharm","OMOP4836372","RxNorm Extension","adalimumab"
36506209,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Eurim-Pharm","OMOP4836092","RxNorm Extension","adalimumab"
36506371,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] by Orifarm Leverkus","OMOP4835077","RxNorm Extension","adalimumab"
36507282,"0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Orifarm Leverkus","OMOP4835214","RxNorm Extension","adalimumab"
36507843,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] by Kohlpharma","OMOP4836138","RxNorm Extension","adalimumab"
36507993,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Kohlpharma","OMOP4835982","RxNorm Extension","adalimumab"
36508265,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Kohlpharma","OMOP4836437","RxNorm Extension","adalimumab"
36508828,"0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Eurim-Pharm","OMOP4835909","RxNorm Extension","adalimumab"
36509252,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Orifarm Leverkus","OMOP4835324","RxNorm Extension","adalimumab"
36510089,"0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Haematogmbh","OMOP4834930","RxNorm Extension","adalimumab"
36510135,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] by Eurim-Pharm","OMOP4835409","RxNorm Extension","adalimumab"
36510154,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] by Kohlpharma","OMOP4835106","RxNorm Extension","adalimumab"
36808534,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio] Box of 2","OMOP4822670","RxNorm Extension","adalimumab"
36808561,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita]","OMOP4822603","RxNorm Extension","adalimumab"
36808562,"0.4 ML adalimumab 50 MG/ML Injectable Solution [Amgevita]","OMOP4822604","RxNorm Extension","adalimumab"
36808564,"0.4 ML adalimumab 50 MG/ML Injectable Solution Box of 1","OMOP4822606","RxNorm Extension","adalimumab"
36808565,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] by Amgen","OMOP4822607","RxNorm Extension","adalimumab"
36808566,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 1","OMOP4822608","RxNorm Extension","adalimumab"
36808567,"0.4 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] by Amgen","OMOP4822609","RxNorm Extension","adalimumab"
36808572,"0.4 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 1 by Amgen","OMOP4822614","RxNorm Extension","adalimumab"
36808573,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 1 by Amgen","OMOP4822615","RxNorm Extension","adalimumab"
36808574,"0.4 ML adalimumab 50 MG/ML Prefilled Syringe Box of 1","OMOP4822616","RxNorm Extension","adalimumab"
36808575,"0.4 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 1","OMOP4822617","RxNorm Extension","adalimumab"
36808602,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita]","OMOP4822643","RxNorm Extension","adalimumab"
36808603,"0.8 ML adalimumab 100 MG/ML Injectable Solution","OMOP4822644","RxNorm Extension","adalimumab"
36808604,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hyrimoz] Box of 2 by Sandoz","OMOP4822645","RxNorm Extension","adalimumab"
36808605,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] Box of 2 by Biogen","OMOP4822646","RxNorm Extension","adalimumab"
36808606,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 2 by Amgen","OMOP4822647","RxNorm Extension","adalimumab"
36808607,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz]","OMOP4822648","RxNorm Extension","adalimumab"
36808608,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi] by Biogen","OMOP4822649","RxNorm Extension","adalimumab"
36808609,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] by Amgen","OMOP4822650","RxNorm Extension","adalimumab"
36808610,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 2","OMOP4822651","RxNorm Extension","adalimumab"
36808611,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio]","OMOP4822652","RxNorm Extension","adalimumab"
36808612,"0.8 ML adalimumab 100 MG/ML Injectable Solution Box of 1","OMOP4822653","RxNorm Extension","adalimumab"
36808613,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio] by Mylan","OMOP4822654","RxNorm Extension","adalimumab"
36808614,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz] by Sandoz","OMOP4822655","RxNorm Extension","adalimumab"
36808615,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio] by Mylan","OMOP4822656","RxNorm Extension","adalimumab"
36808616,"0.8 ML adalimumab 100 MG/ML Injectable Solution [Humira]","OMOP4822657","RxNorm Extension","adalimumab"
36808617,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio]","OMOP4822658","RxNorm Extension","adalimumab"
36808618,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hyrimoz] by Sandoz","OMOP4822659","RxNorm Extension","adalimumab"
36808619,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hulio] Box of 2 by Mylan","OMOP4822660","RxNorm Extension","adalimumab"
36808620,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] by Amgen","OMOP4822661","RxNorm Extension","adalimumab"
36808621,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 2","OMOP4822662","RxNorm Extension","adalimumab"
36808622,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 2 by Mylan","OMOP4822663","RxNorm Extension","adalimumab"
36808623,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 2 by Biogen","OMOP4822664","RxNorm Extension","adalimumab"
36808624,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita]","OMOP4822665","RxNorm Extension","adalimumab"
36808625,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz] Box of 2 by Sandoz","OMOP4822666","RxNorm Extension","adalimumab"
36808626,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 2","OMOP4822667","RxNorm Extension","adalimumab"
36808627,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hyrimoz]","OMOP4822668","RxNorm Extension","adalimumab"
36808628,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] by Biogen","OMOP4822669","RxNorm Extension","adalimumab"
36808629,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz] Box of 2","OMOP4822671","RxNorm Extension","adalimumab"
36808630,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi]","OMOP4822672","RxNorm Extension","adalimumab"
36808631,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 2","OMOP4822673","RxNorm Extension","adalimumab"
36808632,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 2 by Amgen","OMOP4822674","RxNorm Extension","adalimumab"
36808633,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hyrimoz] Box of 2","OMOP4822675","RxNorm Extension","adalimumab"
36808634,"0.8 ML adalimumab 100 MG/ML Injectable Solution [Humira] by Abbvie","OMOP4822676","RxNorm Extension","adalimumab"
36808635,"0.8 ML adalimumab 100 MG/ML Injectable Solution [Humira] Box of 1 by Abbvie","OMOP4822677","RxNorm Extension","adalimumab"
36808636,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi]","OMOP4822678","RxNorm Extension","adalimumab"
36808637,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] Box of 2","OMOP4822679","RxNorm Extension","adalimumab"
36808638,"0.8 ML adalimumab 100 MG/ML Injectable Solution [Humira] Box of 1","OMOP4822680","RxNorm Extension","adalimumab"
36810292,"adalimumab Injectable Solution [Hulio]","OMOP4824321","RxNorm Extension","adalimumab"
36810307,"adalimumab 50 MG/ML Prefilled Syringe [Hulio] Box of 2","OMOP4824336","RxNorm Extension","adalimumab"
36810318,"adalimumab 50 MG/ML [Hyrimoz]","OMOP4824348","RxNorm Extension","adalimumab"
36810524,"adalimumab 50 MG/ML Prefilled Syringe [Hulio]","OMOP4824560","RxNorm Extension","adalimumab"
36810743,"adalimumab 50 MG/ML Prefilled Syringe [Imraldi]","OMOP4824780","RxNorm Extension","adalimumab"
36810769,"adalimumab 50 MG/ML Injectable Solution [Hulio]","OMOP4824806","RxNorm Extension","adalimumab"
36810791,"adalimumab 50 MG/ML Prefilled Syringe [Imraldi] Box of 2","OMOP4824827","RxNorm Extension","adalimumab"
36810840,"adalimumab 50 MG/ML Prefilled Syringe Box of 1","OMOP4824876","RxNorm Extension","adalimumab"
36811063,"adalimumab 100 MG/ML Injectable Solution Box of 1","OMOP4825100","RxNorm Extension","adalimumab"
36811142,"adalimumab Injectable Solution [Amgevita]","OMOP4825179","RxNorm Extension","adalimumab"
36811166,"adalimumab Injectable Solution [Imraldi]","OMOP4825203","RxNorm Extension","adalimumab"
36811542,"adalimumab 50 MG/ML [Imraldi]","OMOP4825576","RxNorm Extension","adalimumab"
36811634,"adalimumab 50 MG/ML Injectable Solution Box of 1","OMOP4825669","RxNorm Extension","adalimumab"
36811801,"adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz]","OMOP4825835","RxNorm Extension","adalimumab"
36811879,"adalimumab 50 MG/ML Injectable Solution [Hyrimoz] Box of 2","OMOP4825913","RxNorm Extension","adalimumab"
36812207,"adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 2","OMOP4826240","RxNorm Extension","adalimumab"
36812264,"adalimumab 50 MG/ML [Amgevita]","OMOP4826297","RxNorm Extension","adalimumab"
36813135,"adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 1","OMOP4827168","RxNorm Extension","adalimumab"
36813159,"adalimumab 50 MG/ML Injectable Solution [Hyrimoz]","OMOP4827192","RxNorm Extension","adalimumab"
36813428,"adalimumab 50 MG/ML Prefilled Syringe [Amgevita]","OMOP4827461","RxNorm Extension","adalimumab"
36813450,"adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 1","OMOP4827483","RxNorm Extension","adalimumab"
36813510,"adalimumab 50 MG/ML Prefilled Syringe [Amgevita] Box of 2","OMOP4827541","RxNorm Extension","adalimumab"
36813618,"adalimumab 100 MG/ML Injectable Solution [Humira] Box of 1","OMOP4827654","RxNorm Extension","adalimumab"
36813657,"adalimumab 50 MG/ML [Hulio]","OMOP4827692","RxNorm Extension","adalimumab"
36814241,"adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 2","OMOP4828281","RxNorm Extension","adalimumab"
36814319,"adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz] Box of 2","OMOP4828357","RxNorm Extension","adalimumab"
36814356,"adalimumab 50 MG/ML Injectable Solution [Amgevita]","OMOP4828394","RxNorm Extension","adalimumab"
36814508,"adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 2","OMOP4828548","RxNorm Extension","adalimumab"
36814531,"adalimumab Injectable Solution [Hyrimoz]","OMOP4828571","RxNorm Extension","adalimumab"
36814747,"adalimumab 50 MG/ML Injectable Solution [Imraldi]","OMOP4828787","RxNorm Extension","adalimumab"
36879869,"adalimumab Injectable Solution","OMOP1000086","RxNorm Extension","adalimumab"
36880841,"adalimumab Cartridge","OMOP1003047","RxNorm Extension","adalimumab"
36884132,"adalimumab 100 MG/ML Injection [Humira]","OMOP998212","RxNorm Extension","adalimumab"
36894683,"adalimumab 100 MG/ML Injectable Solution","OMOP997430","RxNorm Extension","adalimumab"
36896224,"0.8 ML adalimumab 50 MG/ML Cartridge","OMOP996846","RxNorm Extension","adalimumab"
37593385,"adalimumab 40 MG","OMOP4782822","RxNorm Extension","adalimumab"
37593386,"adalimumab 40 MG Prefilled Syringe","OMOP4782823","RxNorm Extension","adalimumab"
37593387,"adalimumab 40 MG Prefilled Syringe by Amgen","OMOP4782824","RxNorm Extension","adalimumab"
37593388,"adalimumab 40 MG Prefilled Syringe by Biogen","OMOP4782825","RxNorm Extension","adalimumab"
37593679,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Aaha","OMOP4783113","RxNorm Extension","adalimumab"
