concept_id,concept_code,concept_name,vocabulary_id,category,cluster
35609010,1070000000000000,Rheumatoid arthritis of right shoulder,SNOMED,jia,general_jia
36687000,15700000000000000,Rheumatoid arthritis of right temporomandibular joint,SNOMED,jia,general_jia
36685024,1070000000000000,Rheumatoid arthritis of right wrist,SNOMED,jia,general_jia
4116444,201776007,Rheumatoid arthritis of sacroiliac joint,SNOMED,jia,general_jia
4114439,201766009,Rheumatoid arthritis of shoulder,SNOMED,jia,general_jia
40320304,156473007,Rheumatoid arthritis of shoulder,SNOMED,jia,general_jia
4116148,201767000,Rheumatoid arthritis of sternoclavicular joint,SNOMED,jia,general_jia
4116446,201780002,Rheumatoid arthritis of subtalar joint,SNOMED,jia,general_jia
4116152,201781003,Rheumatoid arthritis of talonavicular joint,SNOMED,jia,general_jia
4179536,427770001,Rheumatoid arthritis of temporomandibular joint,SNOMED,jia,general_jia
4115051,201778008,Rheumatoid arthritis of tibiofibular joint,SNOMED,jia,general_jia
40320306,156475000,Rheumatoid arthritis of wrist,SNOMED,jia,general_jia
4116441,201771002,Rheumatoid arthritis of wrist,SNOMED,jia,general_jia
4115162,287009003,Rheumatoid arthritis - other joint,SNOMED,jia,general_jia
40320311,156480009,Rheumatoid arthritis - other joint,SNOMED,jia,general_jia
42536657,735600005,Rheumatoid arthritis without erosion,SNOMED,jia,general_jia
36684997,460000000000000,Rheumatoid factor positive rheumatoid arthritis,SNOMED,jia,general_jia
36684998,460000000000000,Rheumatoid factor positive rheumatoid arthritis of the shoulder,SNOMED,jia,general_jia
40537623,359173000,Seronegative arthritis,SNOMED,jia,general_jia
40320317,156485004,Seronegative arthritis,SNOMED,jia,general_jia
40400240,201814005,Seronegative arthritis,SNOMED,jia,general_jia
4163270,399112009,Seronegative arthritis,SNOMED,jia,general_jia
40400209,201787004,Seronegative rheumatoid arthritis,SNOMED,jia,general_jia
4083556,239792003,Seronegative rheumatoid arthritis,SNOMED,jia,general_jia
37209328,15700000000000000,Seronegative rheumatoid arthritis of bilateral hands,SNOMED,jia,general_jia
37207808,319000000000000,Seronegative rheumatoid arthritis of left hand,SNOMED,jia,general_jia
37207809,319000000000000,Seronegative rheumatoid arthritis of multiple sites,SNOMED,jia,general_jia
37207810,319000000000000,Seronegative rheumatoid arthritis of right hand,SNOMED,jia,general_jia
4147418,308143008,Seropositive erosive rheumatoid arthritis,SNOMED,jia,general_jia
40400235,201810001,Seropositive errosive rheumatoid arthritis,SNOMED,jia,general_jia
4035611,239791005,Seropositive rheumatoid arthritis,SNOMED,jia,general_jia
37209329,15700000000000000,Seropositive rheumatoid arthritis of bilateral hands,SNOMED,jia,general_jia
37207804,319000000000000,Seropositive rheumatoid arthritis of left hip,SNOMED,jia,general_jia
37207805,319000000000000,Seropositive rheumatoid arthritis of left knee,SNOMED,jia,general_jia
37108714,11100000000000000,Seropositive rheumatoid arthritis of multiple joints,SNOMED,jia,general_jia
37207806,319000000000000,Seropositive rheumatoid arthritis of right hip,SNOMED,jia,general_jia
37207807,319000000000000,Seropositive rheumatoid arthritis of right knee,SNOMED,jia,general_jia
4220761,417180005,Undifferentiated inflammatory arthritis,SNOMED,jia,general_jia
44812844,409000000000000,[X]Other seropositive rheumatoid arthritis,SNOMED,jia,general_jia
40401308,203730003,[X]Other seropositive rheumatoid arthritis,SNOMED,jia,general_jia
40401311,203732006,[X]Other specified rheumatoid arthritis,SNOMED,jia,general_jia
44796948,425000000000000,[X]Other specified rheumatoid arthritis,SNOMED,jia,general_jia
40401326,203746006,[X]Seropositive rheumatoid arthritis, unspecified,SNOMED,jia,general_jia
40400237,201811002,[X]Seropositive rheumatoid arthritis, unspecified,SNOMED,jia,general_jia
44812846,415000000000000,[X]Seropositive rheumatoid arthritis, unspecified,SNOMED,jia,general_jia
